checked,is_technic,is_electric,is_train,set_num,name,year,theme_id,num_parts,comment
1,1,1,0,002-1,4.5V Samsonite Gears Motor Set,1965,1,3,
1,1,1,0,003-1,Master Mechanic Set,1966,366,403,
1,1,1,0,088-1,Super Set,1969,469,615,
1,1,1,0,10285-1,Compass Sensor for Mindstorms NXT,2011,259,1,///!!!
1,1,1,0,10287-1,Intelligent NXT Brick (Black),2009,259,1,///!!!
1,1,1,0,1032-1,TECHNIC II Set {4.5v},1985,507,280,
1,1,1,0,1034-1,Teachers Resource Set,1985,532,1534,
1,1,1,0,1090-1,TECHNIC Control I,1986,507,397,
1,1,1,0,1175-1,4.5v TECHNIC Motor,1982,453,1,
1,1,1,0,1236-3,12V Technic Motor,1979,453,1,
1,1,1,0,17101-1,Creative Toolbox,2017,301,847,
1,1,1,0,2852724-1,Accelerometer Sensor,2011,259,0,///!!!
1,1,1,0,2852725-1,Infrared Seeker,2011,259,1,///!!!
1,1,1,0,2852726-1,Gyroscopic Sensor,2011,259,0,///!!!
1,1,1,0,2853216-1,Infrared Link Sensor for Mindstorms NXT,2011,259,1,///!!!
1,1,1,0,2855040-1,Infrared Receiver Sensor for Mindstorms NXT,2011,259,0,///!!!
1,1,1,0,2916-1,MyBot,2000,657,32,
1,1,1,0,3057-1,Create 'n' Race - Master Builders,2000,1,106,
1,1,1,0,31313-1,Mindstorms EV3,2013,262,601,///!!!
1,1,1,0,3552-1,Hover Sub,1998,480,126,
1,1,1,0,3571-1,Blackmobile,1998,480,143,
1,1,1,0,3800-1,Ultimate Builders Set,2001,260,322,///!!!
1,1,1,0,3801-1,Ultimate Accessories,2000,260,45,///!!!
1,1,1,0,3803-1,Robotics Invention System Upgrade Kit (1.5),1999,260,70,///!!!
1,1,1,0,3804-1,"Robotics Invention System, Version 2.0",2001,260,720,///!!!
1,1,1,0,3806-1,Gigamesh G60,2002,463,243,///!!!
1,1,1,0,3807-1,Snaptrax S45,2002,463,202,///!!!
1,1,1,0,3808-1,Shadowstrike S70,2002,463,236,///!!!
1,1,1,0,3809-1,Technojaw T55,2002,463,261,///!!!
1,1,1,0,4094-1,Motor Movers,2003,406,256,
1,1,1,0,4095-1,Record and Play,2003,406,344,///!!!
1,1,1,0,41999-1,4 x 4 Crawler Exclusive Edition,2013,1,1584,
1,1,1,0,42000-1,Grand Prix Racer,2013,1,1141,
1,1,1,0,42006-1,Excavator,2013,1,720,
1,1,1,0,42008-1,Service Truck,2013,1,1276,
1,1,1,0,42009-1,Mobile Crane MK II,2013,1,2607,
1,1,1,0,42024-1,Container Truck,2014,1,948,
1,1,1,0,42025-1,Cargo Plane,2014,1,1297,
1,1,1,0,42028-1,Bulldozer,2014,1,617,
1,1,1,0,42029-1,Customized Pick up Truck,2014,1,1063,
1,1,1,0,42030-1,Remote-Controlled Volvo L350F Wheel Loader,2014,1,1636,
1,1,1,0,42038-1,Arctic Truck,2015,1,913,
1,1,1,0,42039-1,24 Hours Race Car,2015,1,1219,
1,1,1,0,42041-1,Race Truck,2015,1,608,
1,1,1,0,42042-1,Crawler Crane,2015,1,1400,
1,1,1,0,42043-1,Mercedes-Benz Arocs 3245,2015,1,2793,
1,1,1,0,42050-1,Drag Racer,2016,1,647,
1,1,1,0,42052-1,Heavy Lift Helicopter,2016,1,1042,
1,1,1,0,42053-1,Volvo EW160E,2016,1,1166,
1,1,1,0,42054-1,CLAAS XERION 5000 TRAC VC,2016,1,1976,
1,1,1,0,42055-1,Bucket Wheel Excavator,2016,1,3929,
1,1,1,0,42056-1,Porsche 911 GT3 RS,2016,1,2704,
1,1,1,0,42065-1,RC Tracked Racer,2017,1,370,
1,1,1,0,42068-1,Airport Rescue Vehicle,2017,1,1106,
1,1,1,0,42069-1,Extreme Adventure,2017,1,2382,
1,1,1,0,42070-1,6x6 All Terrain Tow Truck,2017,1,1862,
1,1,1,0,42077-1,Rally Car,2018,1,1005,
1,1,1,0,42078-1,Mack Anthem,2018,1,2595,
1,1,1,0,42081-1,Volvo Concept Wheel Loader ZEUX,2018,1,1167,
1,1,1,0,42082-1,Rough Terrain Crane,2018,1,4056,
1,1,1,0,42083-1,Bugatti Chiron,2018,1,3599,
1,1,1,0,42093-1,Chevrolet Corvette ZR1,2019,1,579,
1,1,1,0,42094-1,Tracked Loader,2019,1,827,
1,1,1,0,42095-1,Remote-Controlled Stunt Racer,2019,1,324,
1,1,1,0,42096-1,Porsche 911 RSR,2019,1,1580,
1,1,1,0,42097-1,Compact Crawler Crane,2019,1,920,
1,1,1,0,42099-1,4x4 X-treme Off-Roader,2019,1,958,
1,1,1,0,42100-1,Liebherr R 9800 Excavator,2019,1,4108,
1,1,1,0,42105-1,Catamaran,2020,1,405,
1,1,1,0,42108-1,Mobile Crane,2020,1,1292,
1,1,1,0,42109-1,App-Controlled Top Gear Rally Car,2020,1,463,
1,1,1,0,42110-1,Land Rover Defender,2019,1,2573,
1,1,1,0,42111-1,Dom’s Dodge Charger,2020,1,1077,
1,1,1,0,42112-1,Cement Mixer,2020,1,1161,
1,1,1,0,42114-1,6x6 Volvo Articulated Hauler,2020,1,2193,
1,1,1,0,42115-1,Lamborghini Sián FKP 37,2020,1,3696,
1,1,1,0,42121-1,Heavy-Duty Excavator,2021,1,569,
1,1,1,0,42122-1,Jeep Wrangler,2021,1,665,
1,1,1,0,42123-1,McLaren Senna GTR,2021,1,830,
1,1,1,0,42124-1,Off-Road Buggy,2021,1,374,
1,1,1,0,42125-1,"Ferrari 488 GTE ""AF Corse #51""",2021,1,1677,
1,1,1,0,42126-1,Ford F-150 Raptor,2021,1,1379,///!!!
1,1,1,0,42127-1,The Batman - Batmobile,2021,1,1360,
1,1,1,0,42128-1,Heavy Duty Tow Truck,2021,1,2017,///!!!
1,1,1,0,42131-1,Cat D11 Bulldozer,2021,1,3854,
1,1,1,0,42139-1,All-Terrain Vehicle,2022,1,764,
1,1,1,0,42140-1,App-Controlled Transformation Vehicle,2022,1,772,
1,1,1,0,42141-1,McLaren Formula 1 Race Car - 1st Edition,2022,1,1432,
1,1,1,0,4286784-1,Dirt Crusher Gearbox with Light,2005,112,6,///!!!
